Date,Cases,Deaths
2020-02-01,2,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,1,0
2020-02-06,0,0
2020-02-07,1,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,4,0
2020-02-11,1,0
2020-02-12,0,0
2020-02-13,1,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,1,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,2,0
2020-02-27,5,0
2020-02-28,4,0
2020-02-29,8,0
2020-03-01,12,0
2020-03-02,5,0
2020-03-03,22,0
2020-03-04,40,0
2020-03-05,55,0
2020-03-06,56,0
2020-03-07,51,1
2020-03-08,81,1
2020-03-09,60,0
2020-03-10,57,1
2020-03-11,148,4
2020-03-12,259,0
2020-03-13,406,2
2020-03-14,484,1
2020-03-15,478,19
2020-03-16,361,14
2020-03-17,442,22
2020-03-18,611,17
2020-03-19,769,34
2020-03-20,999,46
2020-03-21,1055,32
2020-03-22,1255,58
2020-03-23,1198,36
2020-03-24,1378,76
2020-03-25,2338,148
2020-03-26,2375,191
2020-03-27,2692,181
2020-03-28,3087,288
2020-03-29,3197,292
2020-03-30,2822,212
2020-03-31,2858,374
2020-04-01,4273,403
2020-04-02,4514,672
2020-04-03,4913,657
2020-04-04,4868,736
2020-04-05,4911,756
2020-04-06,4020,599
2020-04-07,3592,567
2020-04-08,5282,1105
2020-04-09,5450,1030
2020-04-10,5131,1116
2020-04-11,4858,1122
2020-04-12,4313,843
2020-04-13,3579,657
2020-04-14,3489,724
2020-04-15,4178,1076
2020-04-16,4326,880
2020-04-17,5065,1036
2020-04-18,5292,913
2020-04-19,4956,1105
2020-04-20,4721,432
2020-04-21,3853,570
2020-04-22,4854,1224
2020-04-23,4760,847
2020-04-24,5487,682
2020-04-25,5158,1010
2020-04-26,4970,815
2020-04-27,3748,364
2020-04-28,3473,320
2020-04-29,4706,969
2020-04-30,4729,769
2020-05-01,5442,634
2020-05-02,4966,698
2020-05-03,4737,584
2020-05-04,3229,253
2020-05-05,2982,272
2020-05-06,3389,726
2020-05-07,3682,647
2020-05-08,3827,458
2020-05-09,3767,579
2020-05-10,3063,275
2020-05-11,2157,217
2020-05-12,2329,187
2020-05-13,3586,614
2020-05-14,3402,447
2020-05-15,3307,352
2020-05-16,2628,350
2020-05-17,2526,411
2020-05-18,2079,67
2020-05-19,1838,146
2020-05-20,2589,500
2020-05-21,3052,328
2020-05-22,2718,273
2020-05-23,2574,291
2020-05-24,2062,220
2020-05-25,1527,379
2020-05-26,1364,104
2020-05-27,1624,131
2020-05-28,1672,422
2020-05-29,1835,343
2020-05-30,1760,274
2020-05-31,1527,154
2020-06-01,1125,60
2020-06-02,1079,86
2020-06-03,1441,249
2020-06-04,1484,254
2020-06-05,1356,130
2020-06-06,1243,258
2020-06-07,1120,143
2020-06-08,801,54
2020-06-09,721,47
2020-06-10,1099,195
2020-06-11,1158,164
2020-06-12,1199,76
2020-06-13,1017,131
2020-06-14,1052,107
2020-06-15,890,27
2020-06-16,822,29
2020-06-17,1043,120
2020-06-18,1102,110
2020-06-19,1013,67
2020-06-20,1027,84
2020-06-21,986,71
2020-06-22,687,31
2020-06-23,639,14
2020-06-24,896,94
2020-06-25,886,87
2020-06-26,778,99
2020-06-27,721,77
2020-06-28,671,40
2020-06-29,649,31
2020-06-30,446,21
2020-07-01,730,53
2020-07-02,617,97
2020-07-03,651,41
2020-07-04,602,49
2020-07-05,579,32
2020-07-06,401,19
2020-07-07,555,11
2020-07-08,704,54
2020-07-09,597,57
2020-07-10,693,31
2020-07-11,715,34
2020-07-12,565,17
2020-07-13,442,9
2020-07-14,361,10
2020-07-15,726,44
2020-07-16,685,26
2020-07-17,772,24
2020-07-18,704,26
2020-07-19,569,9
2020-07-20,493,11
2020-07-21,413,10
2020-07-22,793,25
2020-07-23,751,17
2020-07-24,773,9
2020-07-25,731,32
2020-07-26,667,15
2020-07-27,421,8
2020-07-28,371,3
2020-07-29,70,21
2020-07-30,763,34
2020-07-31,846,0
2020-08-01,880,20
2020-08-02,771,13
2020-08-03,743,5
2020-08-04,928,1
2020-08-05,670,18
2020-08-06,891,14
2020-08-07,950,18
2020-08-08,871,12
2020-08-09,758,3
2020-08-10,1062,5
2020-08-11,816,18
2020-08-12,1148,13
2020-08-13,1009,20
2020-08-14,1129,18
2020-08-15,1440,11
2020-08-16,1077,3
2020-08-17,1040,5
2020-08-18,713,3
2020-08-19,1089,12
2020-08-20,812,16
2020-08-21,1182,6
2020-08-22,1033,2
2020-08-23,1288,18
2020-08-24,1041,6
2020-08-25,972,4
2020-08-26,1184,16
2020-08-27,1048,16
2020-08-28,1522,12
2020-08-29,1276,9
2020-08-30,1108,12
2020-08-31,1715,1
2020-09-01,1406,2
2020-09-02,1295,3
2020-09-03,1508,10
2020-09-04,1735,13
2020-09-05,1940,10
2020-09-06,1813,12
2020-09-07,2988,2
2020-09-08,2948,3
2020-09-09,2460,32
2020-09-10,2659,8
2020-09-11,2919,14
2020-09-12,3539,6
2020-09-13,3497,9
2020-09-14,3330,5
2020-09-15,2621,9
2020-09-16,3103,27
2020-09-17,3991,20
